"Date","Price","Open","High","Low","Vol.","Change %"
"08/11/2022","4,212.5","4,210.2","4,258.3","4,201.0","","0.06%"
"08/10/2022","4,209.9","4,127.3","4,211.9","4,112.5","","2.00%"
"08/09/2022","4,127.4","4,151.2","4,152.9","4,112.0","","-0.58%"
"08/08/2022","4,151.5","4,132.0","4,187.0","4,128.9","","0.47%"
"08/07/2022","4,132.0","4,148.5","4,149.4","4,129.8","","-0.19%"
"08/05/2022","4,140.0","4,152.4","4,164.6","4,101.8","","-0.29%"
"08/04/2022","4,152.1","4,147.4","4,170.7","4,135.5","","0.10%"
"08/03/2022","4,148.0","4,091.8","4,167.6","4,083.1","","1.37%"
"08/02/2022","4,092.0","4,112.8","4,140.8","4,079.6","","-0.49%"
"08/01/2022","4,112.0","4,115.0","4,144.4","4,094.9","","-0.08%"
"07/31/2022","4,115.2","4,136.1","4,136.1","4,112.2","","-0.37%"
"07/29/2022","4,130.3","4,092.6","4,139.9","4,078.8","","0.91%"
"07/28/2022","4,092.9","4,015.8","4,108.6","3,992.9","","1.91%"
"07/27/2022","4,016.0","3,951.2","4,039.1","3,944.6","","1.65%"
"07/26/2022","3,951.0","3,952.8","3,961.4","3,910.7","","-0.05%"
"07/25/2022","3,953.1","3,954.6","3,986.3","3,943.5","","-0.03%"
"07/24/2022","3,954.4","3,965.6","3,965.6","3,953.1","","-0.15%"
"07/22/2022","3,960.3","3,980.8","4,013.4","3,938.9","","-0.52%"
"07/21/2022","3,981.1","3,953.5","4,001.6","3,927.9","","0.68%"
"07/20/2022","3,954.1","3,940.2","3,974.1","3,920.2","","0.34%"
"07/19/2022","3,940.6","3,842.1","3,944.8","3,832.1","","2.58%"
"07/18/2022","3,841.6","3,871.6","3,906.6","3,819.2","","-0.77%"
"07/17/2022","3,871.6","3,875.8","3,878.4","3,866.2","","0.19%"
"07/15/2022","3,864.4","3,808.0","3,865.1","3,777.9","","1.49%"
"07/14/2022","3,807.8","3,774.7","3,808.5","3,721.7","","0.87%"
"07/13/2022","3,775.0","3,818.7","3,863.7","3,749.1","","-1.14%"
"07/12/2022","3,818.7","3,860.8","3,873.7","3,802.1","","-1.09%"
"07/11/2022","3,860.9","3,894.4","3,894.4","3,847.6","","-0.85%"
"07/10/2022","3,893.9","3,896.9","3,897.1","3,887.1","","-0.22%"
"07/08/2022","3,902.5","3,894.2","3,918.6","3,864.6","","0.23%"
"07/07/2022","3,893.7","3,847.7","3,910.8","3,829.7","","1.18%"
"07/06/2022","3,848.4","3,823.7","3,871.6","3,806.5","","0.66%"
"07/05/2022","3,823.0","3,842.9","3,846.9","3,740.6","","-0.53%"
"07/04/2022","3,843.4","3,808.9","3,853.2","3,790.3","","0.90%"
"07/03/2022","3,809.1","3,822.6","3,824.3","3,807.3","","-0.40%"
"07/01/2022","3,824.4","3,787.6","3,830.3","3,742.4","","0.99%"
"06/30/2022","3,786.9","3,812.1","3,818.8","3,736.8","","-0.67%"
"06/29/2022","3,812.4","3,824.8","3,835.6","3,797.1","","-0.34%"
"06/28/2022","3,825.3","3,906.2","3,945.5","3,818.2","","-2.07%"
"06/27/2022","3,906.0","3,896.0","3,943.6","3,888.7","","0.24%"
"06/26/2022","3,896.5","3,912.0","3,917.5","3,896.2","","-0.32%"
"06/24/2022","3,909.1","3,782.9","3,914.9","3,778.9","","3.36%"
"06/23/2022","3,782.2","3,740.4","3,802.7","3,731.6","","1.10%"
"06/22/2022","3,740.9","3,761.3","3,801.5","3,690.8","","-0.53%"
"06/21/2022","3,760.8","3,713.4","3,780.0","3,709.6","","1.28%"
"06/20/2022","3,713.4","3,702.4","3,721.0","3,659.5","","0.29%"
"06/19/2022","3,702.5","3,681.4","3,704.7","3,681.4","","0.61%"
"06/17/2022","3,680.1","3,674.6","3,709.7","3,636.8","","0.16%"
"06/16/2022","3,674.3","3,816.1","3,828.2","3,639.5","","-3.72%"
"06/15/2022","3,816.3","3,756.3","3,838.0","3,721.0","","1.60%"
"06/14/2022","3,756.3","3,758.9","3,803.9","3,705.3","","-0.07%"
"06/13/2022","3,759.1","3,863.8","3,864.3","3,734.3","","-2.69%"
"06/12/2022","3,863.2","3,872.3","3,877.4","3,860.8","","-1.17%"
"06/10/2022","3,908.8","4,023.9","4,030.8","3,897.8","","-2.85%"
"06/09/2022","4,023.4","4,119.8","4,144.3","4,016.8","","-2.32%"
"06/08/2022","4,119.0","4,147.7","4,160.4","4,106.9","","-0.69%"
"06/07/2022","4,147.8","4,122.5","4,164.5","4,077.3","","0.61%"
"06/06/2022","4,122.5","4,109.0","4,169.0","4,106.2","","0.30%"
"06/05/2022","4,110.1","4,114.9","4,118.0","4,106.0","","0.00%"
"06/03/2022","4,110.1","4,182.5","4,185.0","4,098.4","","-1.74%"
"06/02/2022","4,182.7","4,088.8","4,189.8","4,074.1","","2.30%"
"06/01/2022","4,088.8","4,149.6","4,166.0","4,073.9","","-1.46%"
"05/31/2022","4,149.2","4,179.7","4,180.7","4,105.3","","-0.72%"
"05/30/2022","4,179.4","4,169.3","4,204.1","4,163.2","","0.24%"
"05/29/2022","4,169.6","4,166.8","4,174.8","4,159.7","","0.00%"
"05/27/2022","4,169.4","4,058.2","4,169.8","4,043.4","","2.74%"
"05/26/2022","4,058.3","3,970.9","4,075.1","3,962.5","","2.19%"
"05/25/2022","3,971.5","3,959.3","3,999.5","3,917.0","","0.27%"
